",Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth"
"255,2020,3,National,Medicare Only,All,All,All,85 and over,All,2531890.0,3127168.3333,626279.0,0.2474"
"256,2020,3,National,All,American Indian/Alaska Native,All,All,85 and over,All,11195.0,14399.333333,3671.0,0.3279"
"257,2020,3,National,All,Asian/Pacific Islander,All,All,85 and over,All,96612.0,134020.0,39302.0,0.4068"
"258,2020,3,National,All,Black/African American,All,All,85 and over,All,176393.0,226530.66667,52946.0,0.3002"
"259,2020,3,National,All,Hispanic,All,All,85 and over,All,142771.0,198998.66667,56597.0,0.3964"
"260,2020,3,National,All,Non-Hispanic White,All,All,85 and over,All,2633058.0,3166256.0,663647.0,0.252"
"261,2020,3,National,All,All,All,All,All,Rural,5501792.0,7498044.6667,1177214.0,0.214"
"262,2020,3,National,Medicare & Medicaid,All,All,All,All,Rural,1160331.0,1473989.6667,387034.0,0.3336"
"263,2020,3,National,Medicare Only,All,All,All,All,Rural,4341461.0,6024055.0,790180.0,0.182"
"264,2020,3,National,All,American Indian/Alaska Native,All,All,All,Rural,73694.0,100252.33333,25248.0,0.3426"
"265,2020,3,National,All,Asian/Pacific Islander,All,All,All,Rural,30101.0,47256.333333,7287.0,0.2421"
"266,2020,3,National,All,Black/African American,All,All,All,Rural,284340.0,381873.33333,69161.0,0.2432"
"267,2020,3,National,All,Hispanic,All,All,All,Rural,165059.0,250584.0,52557.0,0.3184"
"268,2020,3,National,All,Non-Hispanic White,All,All,All,Rural,4844626.0,6564951.0,1001510.0,0.2067"
"269,2020,3,National,All,All,All,All,All,Urban,18478388.0,24681823.667,5575172.0,0.3017"
"270,2020,3,National,Medicare & Medicaid,All,All,All,All,Urban,3528388.0,4561902.3333,1523832.0,0.4319"
"271,2020,3,National,Medicare Only,All,All,All,All,Urban,14950000.0,20119921.333,4051340.0,0.271"
"272,2020,3,National,All,American Indian/Alaska Native,All,All,All,Urban,55904.0,76199.666667,21282.0,0.3807"
"273,2020,3,National,All,Asian/Pacific Islander,All,All,All,Urban,611491.0,925315.0,231407.0,0.3784"
"274,2020,3,National,All,Black/African American,All,All,All,Urban,1693801.0,2381592.6667,575041.0,0.3395"
"275,2020,3,National,All,Hispanic,All,All,All,Urban,1124174.0,1716148.6667,454804.0,0.4046"
"276,2020,3,National,All,Non-Hispanic White,All,All,All,Urban,14437120.0,18794425.667,4120393.0,0.2854"
"277,2020,4,National,All,All,All,All,All,All,23859981.0,32344227.667,6633025.0,0.278"
"278,2020,4,National,Medicare & Medicaid,All,All,All,All,All,4557233.0,5949902.3333,1827618.0,0.401"
"279,2020,4,National,Medicare Only,All,All,All,All,All,19302748.0,26394325.333,4805407.0,0.2489"
"280,2020,4,National,All,American Indian/Alaska Native,All,All,All,All,127698.0,174899.0,45410.0,0.3556"
"281,2020,4,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,54187.0,72599.333333,21580.0,0.3983"
"282,2020,4,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,73511.0,102299.66667,23830.0,0.3242"
"283,2020,4,National,All,Asian/Pacific Islander,All,All,All,All,647649.0,991068.33333,224054.0,0.3459"
"284,2020,4,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,305463.0,427229.66667,124849.0,0.4087"
"285,2020,4,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,342186.0,563838.66667,99205.0,0.2899"
"286,2020,4,National,All,Black/African American,All,All,All,All,1964059.0,2773721.6667,585513.0,0.2981"
"287,2020,4,National,Medicare & Medicaid,Black/African American,All,All,All,All,803610.0,1047847.3333,288211.0,0.3586"
"288,2020,4,National,Medicare Only,Black/African American,All,All,All,All,1160449.0,1725874.3333,297302.0,0.2562"
"289,2020,4,National,All,Hispanic,All,All,All,All,1288109.0,1983812.0,472219.0,0.3666"
"290,2020,4,National,Medicare & Medicaid,Hispanic,All,All,All,All,624372.0,864763.66667,274224.0,0.4392"
"291,2020,4,National,Medicare Only,Hispanic,All,All,All,All,663737.0,1119048.3333,197995.0,0.2983"
"292,2020,4,National,All,Non-Hispanic White,All,All,All,All,19161238.0,25458833.333,5111279.0,0.2668"
"293,2020,4,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2647112.0,3363720.6667,1066849.0,0.403"
"294,2020,4,National,Medicare Only,Non-Hispanic White,All,All,All,All,16514126.0,22095112.667,4044430.0,0.2449"
"295,2020,4,National,All,All,Female,All,All,All,13519502.0,17659745.667,3968879.0,0.2936"
"296,2020,4,National,Medicare & Medicaid,All,Female,All,All,All,2738959.0,3415587.6667,1134083.0,0.4141"
"297,2020,4,National,Medicare Only,All,Female,All,All,All,10780543.0,14244158.0,2834796.0,0.263"
"298,2020,4,National,All,American Indian/Alaska Native,Female,All,All,All,75450.0,98524.666667,28209.0,0.3739"
"299,2020,4,National,All,Asian/Pacific Islander,Female,All,All,All,386686.0,580109.66667,135605.0,0.3507"
"300,2020,4,National,All,Black/African American,Female,All,All,All,1166571.0,1531482.3333,370823.0,0.3179"
"301,2020,4,National,All,Hispanic,Female,All,All,All,747232.0,1067630.0,290467.0,0.3887"
"302,2020,4,National,All,Non-Hispanic White,Female,All,All,All,10855587.0,13977411.667,3053375.0,0.2813"
"303,2020,4,National,All,All,Male,All,All,All,10340479.0,14684482.0,2664146.0,0.2576"
"304,2020,4,National,Medicare & Medicaid,All,Male,All,All,All,1818274.0,2534314.6667,693535.0,0.3814"
"305,2020,4,National,Medicare Only,All,Male,All,All,All,8522205.0,12150167.333,1970611.0,0.2312"
"306,2020,4,National,All,American Indian/Alaska Native,Male,All,All,All,52248.0,76374.333333,17201.0,0.3292"
"307,2020,4,National,All,Asian/Pacific Islander,Male,All,All,All,260963.0,410958.66667,88449.0,0.3389"
"308,2020,4,National,All,Black/African American,Male,All,All,All,797488.0,1242239.3333,214690.0,0.2692"
"309,2020,4,National,All,Hispanic,Male,All,All,All,540877.0,916182.0,181752.0,0.336"
"310,2020,4,National,All,Non-Hispanic White,Male,All,All,All,8305651.0,11481421.667,2057904.0,0.2478"
"311,2020,4,National,All,All,All,Aged,All,All,20641614.0,27878347.0,5283069.0,0.2559"
"312,2020,4,National,Medicare & Medicaid,All,All,Aged,All,All,2587404.0,3376748.0,935485.0,0.3616"
"313,2020,4,National,Medicare Only,All,All,Aged,All,All,18054210.0,24501599.0,4347584.0,0.2408"
"314,2020,4,National,All,American Indian/Alaska Native,All,Aged,All,All,90533.0,124126.33333,30069.0,0.3321"
"315,2020,4,National,All,Asian/Pacific Islander,All,Aged,All,All,581021.0,894636.66667,195040.0,0.3357"
"316,2020,4,National,All,Black/African American,All,Aged,All,All,1352365.0,1923755.0,358633.0,0.2652"
"317,2020,4,National,All,Hispanic,All,Aged,All,All,968654.0,1534996.3333,325057.0,0.3356"
"318,2020,4,National,All,Non-Hispanic White,All,Aged,All,All,17049533.0,22547667.333,4211553.0,0.247"
"319,2020,4,National,All,All,All,Disabled,All,All,2860150.0,4092343.0,1225960.0,0.4286"
"320,2020,4,National,Medicare & Medicaid,All,All,Disabled,All,All,1794296.0,2396746.3333,829045.0,0.462"
"321,2020,4,National,Medicare Only,All,All,Disabled,All,All,1065854.0,1695596.6667,396915.0,0.3724"
"322,2020,4,National,All,American Indian/Alaska Native,All,Disabled,All,All,31487.0,45080.0,12954.0,0.4114"
"323,2020,4,National,All,Asian/Pacific Islander,All,Disabled,All,All,48562.0,77265.666667,22240.0,0.458"
"324,2020,4,National,All,Black/African American,All,Disabled,All,All,488936.0,722372.0,190335.0,0.3893"
"325,2020,4,National,All,Hispanic,All,Disabled,All,All,258471.0,385127.0,123493.0,0.4778"
"326,2020,4,National,All,Non-Hispanic White,All,Disabled,All,All,1971120.0,2764809.0,848851.0,0.4306"
"327,2020,4,National,All,All,All,ESRD,All,All,358217.0,373537.66667,123996.0,0.3461"
"328,2020,4,National,Medicare & Medicaid,All,All,ESRD,All,All,175533.0,176408.0,63088.0,0.3594"
"329,2020,4,National,Medicare Only,All,All,ESRD,All,All,182684.0,197129.66667,60908.0,0.3334"
"330,2020,4,National,All,American Indian/Alaska Native,All,ESRD,All,All,5678.0,5692.6666667,2387.0,0.4204"
"331,2020,4,National,All,Asian/Pacific Islander,All,ESRD,All,All,18066.0,19166.0,6774.0,0.375"
"332,2020,4,National,All,Black/African American,All,ESRD,All,All,122758.0,127594.66667,36545.0,0.2977"
"333,2020,4,National,All,Hispanic,All,ESRD,All,All,60984.0,63688.666667,23669.0,0.3881"
"334,2020,4,National,All,Non-Hispanic White,All,ESRD,All,All,140585.0,146357.0,50875.0,0.3619"
"335,2020,4,National,All,All,All,All,0-64,All,3044876.0,4290559.0,1290816.0,0.4239"
"336,2020,4,National,Medicare & Medicaid,All,All,All,0-64,All,1905946.0,2510075.3333,869483.0,0.4562"
"337,2020,4,National,Medicare Only,All,All,All,0-64,All,1138930.0,1780483.6667,421333.0,0.3699"
"338,2020,4,National,All,American Indian/Alaska Native,All,All,0-64,All,34823.0,48461.333333,14382.0,0.413"
"339,2020,4,National,All,Asian/Pacific Islander,All,All,0-64,All,57044.0,86674.666667,25405.0,0.4454"
"340,2020,4,National,All,Black/African American,All,All,0-64,All,562146.0,799605.0,212661.0,0.3783"
"341,2020,4,National,All,Hispanic,All,All,0-64,All,295026.0,424052.33333,137785.0,0.467"
"342,2020,4,National,All,Non-Hispanic White,All,All,0-64,All,2028750.0,2827776.3333,870469.0,0.4291"
"343,2020,4,National,All,All,All,All,65-74,All,11076746.0,15838905.333,2868537.0,0.259"
"344,2020,4,National,Medicare & Medicaid,All,All,All,65-74,All,1341050.0,1835906.3333,500740.0,0.3734"
"345,2020,4,National,Medicare Only,All,All,All,65-74,All,9735696.0,14002999.0,2367797.0,0.2432"
"346,2020,4,National,All,American Indian/Alaska Native,All,All,65-74,All,51399.0,72548.333333,17559.0,0.3416"
"347,2020,4,National,All,Asian/Pacific Islander,All,All,65-74,All,301997.0,495437.0,96534.0,0.3197"
"348,2020,4,National,All,Black/African American,All,All,65-74,All,822524.0,1220269.3333,220175.0,0.2677"
"349,2020,4,National,All,Hispanic,All,All,65-74,All,551161.0,923611.66667,182609.0,0.3313"
"350,2020,4,National,All,Non-Hispanic White,All,All,65-74,All,8867955.0,12437818.667,2224029.0,0.2508"
"351,2020,4,National,All,All,All,All,75-84,All,6812295.0,8590523.0,1719887.0,0.2525"
"352,2020,4,National,Medicare & Medicaid,All,All,All,75-84,All,799456.0,999491.33333,283431.0,0.3545"
"353,2020,4,National,Medicare Only,All,All,All,75-84,All,6012839.0,7591031.6667,1436456.0,0.2389"
"354,2020,4,National,All,American Indian/Alaska Native,All,All,75-84,All,30880.0,40141.333333,10091.0,0.3268"
"355,2020,4,National,All,Asian/Pacific Islander,All,All,75-84,All,195871.0,279395.33333,67153.0,0.3428"
"356,2020,4,National,All,Black/African American,All,All,75-84,All,412467.0,537608.66667,107840.0,0.2615"
"357,2020,4,National,All,Hispanic,All,All,75-84,All,306239.0,445491.33333,103554.0,0.3381"
"358,2020,4,National,All,Non-Hispanic White,All,All,75-84,All,5768878.0,7153770.6667,1402578.0,0.2431"
"359,2020,4,National,All,All,All,All,85 and over,All,2926064.0,3624240.3333,753785.0,0.2576"
"360,2020,4,National,Medicare & Medicaid,All,All,All,85 and over,All,510781.0,604429.33333,173964.0,0.3406"
"361,2020,4,National,Medicare Only,All,All,All,85 and over,All,2415283.0,3019811.0,579821.0,0.2401"
"362,2020,4,National,All,American Indian/Alaska Native,All,All,85 and over,All,10596.0,13748.0,3378.0,0.3188"
"363,2020,4,National,All,Asian/Pacific Islander,All,All,85 and over,All,92737.0,129561.33333,34962.0,0.377"
"364,2020,4,National,All,Black/African American,All,All,85 and over,All,166922.0,216238.66667,44837.0,0.2686"
"365,2020,4,National,All,Hispanic,All,All,85 and over,All,135683.0,190656.66667,48271.0,0.3558"
"366,2020,4,National,All,Non-Hispanic White,All,All,85 and over,All,2495655.0,3039467.6667,614203.0,0.2461"
"367,2020,4,National,All,All,All,All,All,Rural,5420078.0,7494164.6667,1239097.0,0.2286"
"368,2020,4,National,Medicare & Medicaid,All,All,All,All,Rural,1115691.0,1444634.0,386347.0,0.3463"
"369,2020,4,National,Medicare Only,All,All,All,All,Rural,4304387.0,6049530.6667,852750.0,0.1981"
"370,2020,4,National,All,American Indian/Alaska Native,All,All,All,Rural,72458.0,99008.0,25002.0,0.3451"
"371,2020,4,National,All,Asian/Pacific Islander,All,All,All,Rural,30366.0,47602.0,7367.0,0.2426"
"372,2020,4,National,All,Black/African American,All,All,All,Rural,278311.0,377971.66667,60022.0,0.2157"
"373,2020,4,National,All,Hispanic,All,All,All,Rural,163524.0,250636.33333,51708.0,0.3162"
"374,2020,4,National,All,Non-Hispanic White,All,All,All,Rural,4770579.0,6563300.6667,1071140.0,0.2245"
"375,2020,4,National,All,All,All,All,All,Urban,18394260.0,24730386.333,5385180.0,0.2928"
"376,2020,4,National,Medicare & Medicaid,All,All,All,All,Urban,3432597.0,4491125.6667,1438443.0,0.4191"
"377,2020,4,National,Medicare Only,All,All,All,All,Urban,14961663.0,20239260.667,3946737.0,0.2638"
"378,2020,4,National,All,American Indian/Alaska Native,All,All,All,Urban,54797.0,75175.0,20262.0,0.3698"
"379,2020,4,National,All,Asian/Pacific Islander,All,All,All,Urban,612607.0,928503.0,216341.0,0.3531"
"380,2020,4,National,All,Black/African American,All,All,All,Urban,1673590.0,2373064.6667,523442.0,0.3128"
"381,2020,4,National,All,Hispanic,All,All,All,Urban,1119448.0,1714855.6667,419612.0,0.3748"
"382,2020,4,National,All,Non-Hispanic White,All,All,All,Urban,14369336.0,18838827.333,4035081.0,0.2808"
"383,2021,Overall,National,All,All,All,All,All,All,29967346.0,30841829.917,10249756.0,0.342"
"384,2021,Overall,National,All,All,All,All,All,Rural,6894285.0,7095777.5833,1900548.0,0.2757"
"385,2021,Overall,National,All,All,All,All,All,Urban,23011135.0,23633577.583,8334891.0,0.3622"
"386,2021,Overall,National,All,All,All,All,0-64,All,3642908.0,3774430.1667,1744172.0,0.4788"
"387,2021,Overall,National,All,All,All,All,65-74,All,14086269.0,14705080.333,4420048.0,0.3138"
"388,2021,Overall,National,All,All,All,All,75-84,All,8521587.0,8712473.9167,2842558.0,0.3336"
"389,2021,Overall,National,All,All,All,All,85 and over,All,3716582.0,3649845.5,1242978.0,0.3344"
"390,2021,Overall,National,All,All,All,Aged,All,All,26130238.0,26900853.917,8411298.0,0.3219"
"391,2021,Overall,National,All,All,All,ESRD,All,All,381353.0,326736.16667,181492.0,0.4759"
"392,2021,Overall,National,All,All,Female,All,All,All,16765177.0,16863850.333,6065017.0,0.3618"
"393,2021,Overall,National,All,All,Male,All,All,All,13202169.0,13977979.583,4184739.0,0.317"
"394,2021,Overall,National,All,American Indian/Alaska Native,All,All,All,All,157654.0,160649.16667,64183.0,0.4071"
"395,2021,Overall,National,All,American Indian/Alaska Native,All,All,All,Rural,89718.0,91145.583333,34937.0,0.3894"
"396,2021,Overall,National,All,American Indian/Alaska Native,All,All,All,Urban,67388.0,68842.416667,29017.0,0.4306"
"397,2021,Overall,National,All,American Indian/Alaska Native,All,All,0-64,All,41328.0,42862.666667,19241.0,0.4656"
"398,2021,Overall,National,All,American Indian/Alaska Native,All,All,65-74,All,62914.0,64598.75,24255.0,0.3855"
"399,2021,Overall,National,All,American Indian/Alaska Native,All,All,75-84,All,39198.0,39339.0,15323.0,0.3909"
"400,2021,Overall,National,All,American Indian/Alaska Native,All,All,85 and over,All,14214.0,13848.75,5364.0,0.3774"
"401,2021,Overall,National,All,American Indian/Alaska Native,All,Aged,All,All,113821.0,115646.16667,43636.0,0.3834"
"402,2021,Overall,National,All,American Indian/Alaska Native,All,Disabled,All,All,37946.0,39937.416667,17396.0,0.4584"
"403,2021,Overall,National,All,American Indian/Alaska Native,Female,All,All,All,91290.0,90517.75,39778.0,0.4357"
"404,2021,Overall,National,All,American Indian/Alaska Native,Male,All,All,All,66364.0,70131.416667,24405.0,0.3677"
"405,2021,Overall,National,All,Asian/Pacific Islander,All,All,All,All,884060.0,962594.91667,367306.0,0.4155"
"406,2021,Overall,National,All,Asian/Pacific Islander,All,All,All,Rural,42085.0,45927.5,12140.0,0.2885"
"407,2021,Overall,National,All,Asian/Pacific Islander,All,All,All,Urban,834320.0,901541.16667,354412.0,0.4248"
"408,2021,Overall,National,All,Asian/Pacific Islander,All,All,65-74,All,420750.0,466301.58333,158057.0,0.3757"
"409,2021,Overall,National,All,Asian/Pacific Islander,All,All,75-84,All,262028.0,282301.5,112112.0,0.4279"
"410,2021,Overall,National,All,Asian/Pacific Islander,All,All,85 and over,All,127835.0,134316.66667,60208.0,0.471"
"411,2021,Overall,National,All,Asian/Pacific Islander,All,Aged,All,All,799581.0,873238.16667,324454.0,0.4058"
"412,2021,Overall,National,All,Asian/Pacific Islander,Female,All,All,All,527788.0,566911.58333,222829.0,0.4222"
"413,2021,Overall,National,All,Asian/Pacific Islander,Male,All,All,All,356272.0,395683.33333,144477.0,0.4055"
"414,2021,Overall,National,All,Black/African American,All,All,All,All,2423562.0,2504656.3333,881511.0,0.3637"
"415,2021,Overall,National,All,Black/African American,All,All,All,Rural,326877.0,328001.41667,88494.0,0.2707"
"416,2021,Overall,National,All,Black/African American,All,All,All,Urban,2083501.0,2158993.75,789949.0,0.3791"
"417,2021,Overall,National,All,Black/African American,All,All,0-64,All,670050.0,683339.5,293156.0,0.4375"
"418,2021,Overall,National,All,Black/African American,All,All,65-74,All,1034869.0,1091691.25,339242.0,0.3278"
"419,2021,Overall,National,All,Black/African American,All,All,75-84,All,505745.0,518498.25,175016.0,0.3461"
"420,2021,Overall,National,All,Black/African American,All,All,85 and over,All,212898.0,211127.33333,74097.0,0.348"
"421,2021,Overall,National,All,Black/African American,All,Aged,All,All,1701891.0,1777806.9167,566577.0,0.3329"
"422,2021,Overall,National,All,Black/African American,All,Disabled,All,All,600586.0,625027.08333,263899.0,0.4394"
"423,2021,Overall,National,All,Black/African American,All,ESRD,All,All,121085.0,101822.33333,51035.0,0.4215"
"424,2021,Overall,National,All,Black/African American,Female,All,All,All,1405552.0,1384461.75,553862.0,0.3941"
"425,2021,Overall,National,All,Black/African American,Male,All,All,All,1018010.0,1120194.5833,327649.0,0.3219"
"426,2021,Overall,National,All,Hispanic,All,All,All,All,1690834.0,1865039.6667,711597.0,0.4209"
"427,2021,Overall,National,All,Hispanic,All,All,All,Rural,214290.0,234122.66667,75858.0,0.354"
"428,2021,Overall,National,All,Hispanic,All,All,All,Urban,1468976.0,1613288.1667,634260.0,0.4318"
"429,2021,Overall,National,All,Hispanic,All,All,65-74,All,745486.0,852670.0,280516.0,0.3763"
"430,2021,Overall,National,All,Hispanic,All,All,75-84,All,397854.0,440122.25,161849.0,0.4068"
"431,2021,Overall,National,All,Hispanic,All,All,85 and over,All,182172.0,192791.5,78774.0,0.4324"
"432,2021,Overall,National,All,Hispanic,All,Aged,All,All,1299506.0,1463602.9167,507577.0,0.3906"
"433,2021,Overall,National,All,Hispanic,Female,All,All,All,962077.0,1008026.9167,434051.0,0.4512"
"434,2021,Overall,National,All,Hispanic,Male,All,All,All,728757.0,857012.75,277546.0,0.3808"
"435,2021,Overall,National,All,Non-Hispanic White,All,All,All,All,23899201.0,24388902.0,7903174.0,0.3307"
"436,2021,Overall,National,All,Non-Hispanic White,All,All,All,Rural,6074284.0,6241259.25,1649507.0,0.2716"
"437,2021,Overall,National,All,Non-Hispanic White,All,All,All,Urban,17795041.0,18092545.417,6245400.0,0.351"
"438,2021,Overall,National,All,Non-Hispanic White,All,All,65-74,All,11197591.0,11576260.917,3414948.0,0.305"
